Cód Memorando	ID
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
100	100
101	101
102	102
103	103
104	104
105	105
106	106
107	107
108	108
109	109
110	110
111	111
112	112
113	113
114	114
115	115
116	116
117	117
118	118
119	119
120	120
121	121
122	122
123	046c4b10
124	cf093f53
125	54007a42
126	60ac6e7b
127	3d92583e
128	ec2485d0
129	4b7dc089
130	550d8f42
5	64236e0c
1	29169c2f
6	78b61cad
134	0c7772fd
135	4bc9c705
2	3ad5e846
137	c1c6b6d8
138	97c0ce9f
139	9e3950a0
3	6afa2173
7	46e557d3
142	138be22b
143	5ceedc72
9	e4da0f07
10	5c78232a
146	d6e13b26
147	f5b045a4
148	3d5b0abc
149	16ff5657
150	6deac96c
151	33f8c302
4	a59e451a
5	4d51dc98
154	6171d602
8	2f59a1c8
156	e704d3cb
157	b307de33
158	a6be16ee
159	f616a7d4
160	fedadf88
161	b0633254
11	7ef7acd9
163	f55f5de2
164	9331ba25
165	d50d0735
166	436d0988
167	12a45527
168	9b609eae
169	828b4e63
170	a9a563c5
171	470c82be
9	df4bd1b6
173	c953e8d6
6	ba2ad2d9
7	580835c5
176	0b19a76a
177	65347c0b
13	f5fd9082
179	34871d3e
10	3be7027d
14	a5ca9b7e
182	96e858c5
183	9b84a3d8
8	2cd4c861
16	7a261f70
18	43a105c0
17	df59389a
188	b552fe58
189	8013071b
9	934c7b42
191	3f13d359
10	bab50d51
192	310392f8
11	1f714746
18	1704ba91
19	fbc66a79
197	2fbb8630
198	5eabf364
199	35b25dd8
200	09a5b1f7
201	56664d28
202	ad096ed2
203	ce63722c
204	3bbac64e
205	29c363e7
206	8c942650
207	55bfab96
12	d00c9716
209	fd8d005f
210	d3ea1983
13	e5701839
212	aa2816e7
11	0443b38e
14	93dc9c02
215	71486792
216	a22d37c7
217	98a68432
218	c2a2b474
219	c800090d
220	d3f76e94
221	05e911da
222	9bffd5b5
223	cec4aa2e
224	f0bcc598
12	17f0c743
15	e5645fd5
227	0c74607a
228	7c29e83f
229	343cffcf
16	7d9572bf
231	4685c537
232	c2281d4a
233	d277adaf
234	e7fa63db
20	6b89bfcb
21	8d62c94c
22	9acc00f4
3	8dbffb8c
17	138fa923
240	4badc8a3
241	47da62e7
242	2381b9c3
243	b9893587
244	d4296728
245	9dd23ddf
246	65d8cfe7
18	4c96d146
19	9c51b0d4
249	64c4fe9d
20	52b21dfc
251	5e5f762c
23	c4b5a86b
24	ebc03e4d
254	91066929
15	fc2e45f6
256	e4d77aa1
257	95bc050c
258	1b959cb8
4	04f2ff1c
260	e10c127e
261	005de047
262	9f379679
21	06bf22eb
264	d5a5d062
265	5dfe067b
266	d7988954
267	9b253c89
268	25576a73
269	b5581ea6
5	1784996a
271	9dd8ef6c
272	4773008e
273	ce443f6a
274	ff11e8b7
275	1fed42b4
276	d4e8e5a1
277	b7335f8d
278	f8791c42
279	1fda7952
25	4cc8ef15
281	d4222ecf
282	defb98d0
26	d6050f18
27	a165bc52
28	4eb8ee31
16	2ae1b600
287	d0845f3a
29	1cab80fb
289	1257a900
30	7faac470
291	d9fa3677
292	dbac6c93
31	f6c51c3a
32	c590054e
33	fcf4455b
296	36e95c60
297	6b717599
298	11bc6a55
299	d97df129
300	96fd940d
301	1f373618
302	249b0d2d
303	e508d053
304	8d19c0f9
305	9381483c
306	eba4b0a1
6	e6876837
308	ec5a2b77
309	530fede9
310	0020acb1
311	8612fbc1
312	a3fc1548
313	66ba3f14
22	7e0330c6
315	ae3ee7f4
316	c722ebca
317	4f9c2128
318	ac033684
319	8a6792e4
23	a30b4557
321	7999fde7
322	927cb778
323	6b3588c1
324	acc7afea
325	8ff2c26e
326	b445ae52
17	1d6cb89a
328	d99f0d74
329	7e73acc0
